source_service,target_service,interaction_count,out_degree_total,prob_transition
EKS,UserConsumerWeb,20,495,0.0404
ElastiCache,EC2,19,107,0.1776
ThirdParty,UserConsumerMobile,19,862,0.022
Aurora,EC2,19,145,0.131
Lambda,ElastiCache,19,2075,0.0092
Lambda,Athena,18,2075,0.0087
UserConsumerWeb,ThirdParty,18,388,0.0464
UserConsumerWeb,ECS,18,388,0.0464
Lambda,CloudFront,18,2075,0.0087
ApiGateway,UserConsumerAPI,18,537,0.0335
DynamoDB,EKS,18,496,0.0363
UserConsumerMobile,EKS,17,307,0.0554
Fargate,RDS,17,184,0.0924
Kinesis,Firehose,17,248,0.0685
UserCompanyAnalyst,S3,17,116,0.1466
EC2,UserCompanyDeveloper,17,1266,0.0134
OpenSearch,Lambda,17,74,0.2297
Lambda,Comprehend,17,2075,0.0082
RDS,Fargate,17,263,0.0646
ECS,EC2,17,363,0.0468
NLB,EKS,17,42,0.4048
SQS,ThirdParty,17,380,0.0447
ECS,ApiGateway,17,363,0.0468
Kinesis,EC2,16,248,0.0645
UserConsumerEdge,Kinesis,16,94,0.1702
MSK,S3,16,68,0.2353
ApiGateway,SQS,16,537,0.0298
UserCompanyAnalyst,SageMaker,16,116,0.1379
ApiGateway,StepFunctions,16,537,0.0298
CloudWatch,EC2,16,202,0.0792
CloudWatch,StepFunctions,16,202,0.0792
ApiGateway,S3,16,537,0.0298
S3,ApiGateway,16,1551,0.0103
EMR,RedShift,16,208,0.0769
ApiGateway,UserCompanyDeveloper,16,537,0.0298
UserConsumerMobile,ELB,16,307,0.0521
Lambda,Neptune,15,2075,0.0072
S3,QuickSight,15,1551,0.0097
EKS,MSK,15,495,0.0303
UserCompanyDeveloper,S3,15,182,0.0824
RDS,Glue,15,263,0.057
UserConsumerEdge,ApiGateway,15,94,0.1596
Glue,EC2,15,229,0.0655
Lambda,SystemsManager,15,2075,0.0072
S3,Kinesis,15,1551,0.0097
ThirdParty,SNS,15,862,0.0174
ServiceCatalog,CloudFormation,15,42,0.3571
UserConsumerMobile,Lambda,15,307,0.0489
RedShift,EC2,15,148,0.1014
StepFunctions,Rekognition,15,294,0.051
RedShift,EKS,15,148,0.1014
UserConsumerAPI,ELB,15,141,0.1064
Transcribe,S3,15,61,0.2459
EFS,Lambda,15,23,0.6522
Route53,UserConsumerMobile,15,103,0.1456
EC2,VPC,15,1266,0.0118
EC2,Glue,15,1266,0.0118
QuickSight,RedShift,15,42,0.3571
EC2,Kinesis,15,1266,0.0118
Lambda,EFS,15,2075,0.0072
Comprehend,Lambda,15,53,0.283
UserConsumerWeb,ALB,15,388,0.0387
RedShift,UserCompanyAnalyst,15,148,0.1014
Athena,Lambda,15,207,0.0725
UserConsumerWeb,EKS,15,388,0.0387
UserConsumerWebMobile,ApiGateway,15,57,0.2632
ECS,ALB,15,363,0.0413
MSK,EKS,15,68,0.2206
NLB,EC2,15,42,0.3571
SageMaker,Glue,15,251,0.0598
DynamoDB,S3,15,496,0.0302
UserConsumerEdge,IoTCore,15,94,0.1596
EC2,ALB,15,1266,0.0118
S3,Transcribe,15,1551,0.0097
S3,CloudWatch,15,1551,0.0097
EC2,CloudWatch,15,1266,0.0118
StepFunctions,SNS,15,294,0.051
EKS,RedShift,15,495,0.0303
EKS,CloudWatch,15,495,0.0303
ThirdParty,RedShift,15,862,0.0174
EC2,DirectConnect,14,1266,0.0111
ApiGateway,DynamoDB,13,537,0.0242
Lambda,Rekognition,13,2075,0.0063
LambdaAtEdge,DynamoDB,13,55,0.2364
Aurora,ECS,13,145,0.0897
DynamoDB,ApiGateway,13,496,0.0262
ThirdParty,RDS,13,862,0.0151
DynamoDB,LambdaAtEdge,13,496,0.0262
UserConsumerMobile,Cognito,12,307,0.0391
Fargate,EC2,12,184,0.0652
UserConsumerMobile,Kinesis,12,307,0.0391
S3,UserConsumerWeb,12,1551,0.0077
ApiGateway,UserCompanyAnalyst,12,537,0.0223
ElastiCache,Lambda,12,107,0.1121
Rekognition,Lambda,12,39,0.3077
EC2,ApiGateway,12,1266,0.0095
EC2,UserConsumerWeb,12,1266,0.0095
UserConsumerAPI,ThirdParty,12,141,0.0851
Comprehend,S3,12,53,0.2264
UserCompanyAnalyst,ApiGateway,12,116,0.1034
ECS,UserConsumerWeb,12,363,0.0331
ThirdParty,DirectConnect,12,862,0.0139
CloudFront,Lambda,12,291,0.0412
EKS,SQS,12,495,0.0242
ElastiCache,ECS,12,107,0.1121
KMS,S3,11,41,0.2683
Athena,UserCompanyAnalyst,11,207,0.0531
UserCompanyAnalyst,CloudFront,11,116,0.0948
MediaConvert,S3,11,26,0.4231
StepFunctions,SageMaker,11,294,0.0374
Route53,CloudFront,11,103,0.1068
KinesisAnalytics,Lambda,11,27,0.4074
EC2,VPCPeering,11,1266,0.0087
S3,DMS,11,1551,0.0071
StepFunctions,MediaConvert,11,294,0.0374
Lambda,DocumentDB,11,2075,0.0053
Route53,ELB,11,103,0.1068
UserCompanyAnalyst,Athena,11,116,0.0948
S3,UserConsumerMobile,11,1551,0.0071
ThirdParty,DMS,11,862,0.0128
Glue,RedShift,11,229,0.048
EC2,FSX,11,1266,0.0087
UserConsumerEdge,S3,11,94,0.117
UserConsumerWeb,ELB,11,388,0.0284
ThirdParty,ECR,11,862,0.0128
EMR,ThirdParty,11,208,0.0529
UserCompanyDataStream,SQS,11,189,0.0582
ECR,EC2,11,66,0.1667
Lambda,Textract,11,2075,0.0053
Lambda,Fargate,11,2075,0.0053
CloudFront,ApiGateway,10,291,0.0344
ALB,UserConsumerWeb,10,204,0.049
CloudWatch,Glue,10,202,0.0495
ThirdParty,ELB,10,862,0.0116
EC2,IAM,10,1266,0.0079
UserConsumerWebMobile,CloudFront,10,57,0.1754
S3,Aurora,10,1551,0.0064
OpenSearch,ThirdParty,10,74,0.1351
EC2,Cognito,10,1266,0.0079
Lambda,UserCompanyInternalPlatform,10,2075,0.0048
CloudFormation,IAM,10,130,0.0769
Glue,LakeFormation,10,229,0.0437
GuardDuty,Lambda,10,36,0.2778
UserCompanyDeveloper,CodeCommit,10,182,0.0549
ELB,ECS,10,226,0.0442
IAM,EC2,10,39,0.2564
UserConsumerMobile,S3,10,307,0.0326
CloudWatch,SNS,10,202,0.0495
UserCompanyAgent,EC2,10,79,0.1266
Athena,UserConsumerMobile,10,207,0.0483
UserCompanyAnalyst,RedShift,10,116,0.0862
UserConsumerWeb,AppSync,10,388,0.0258
Lambda,PrivateLink,10,2075,0.0048
CloudFront,ELB,10,291,0.0344
UserConsumerWeb,Cognito,10,388,0.0258
StepFunctions,ApiGateway,10,294,0.034
EMR,StepFunctions,10,208,0.0481
ThirdParty,Kinesis,10,862,0.0116
Kinesis,DynamoDB,10,248,0.0403
CloudWatch,Fargate,10,202,0.0495
EC2,Firehose,10,1266,0.0079
RDS,RedShift,10,263,0.038
ThirdParty,UserCompanyAgent,10,862,0.0116
UserCompanyWebsite,ECS,10,10,1.0
CloudTrail,EventBridge,10,45,0.2222
ThirdParty,Fargate,10,862,0.0116
S3,UserConsumerEdge,10,1551,0.0064
S3,FSX,10,1551,0.0064
AWSConfig,SecurityHub,10,10,1.0
S3,MediaConvert,10,1551,0.0064
EC2,RedShift,10,1266,0.0079
StepFunctions,EC2,10,294,0.034
OnPremDC,ThirdParty,10,26,0.3846
TransferFamily,S3,10,10,1.0
Lex,Connect,10,38,0.2632
QuickSight,UserCompanyAnalyst,10,42,0.2381
UserConsumerWeb,Kinesis,10,388,0.0258
EC2,EMR,10,1266,0.0079
LakeFormation,Glue,10,25,0.4
ELB,Route53,10,226,0.0442
EKS,SNS,10,495,0.0202
UserCompanyDataStream,IoTCore,10,189,0.0529
ALB,ThirdParty,10,204,0.049
EC2,SNS,10,1266,0.0079
SNS,S3,10,215,0.0465
WAF,EC2,10,58,0.1724
EC2,WAF,10,1266,0.0079
StepFunctions,EventBridge,10,294,0.034
CloudWatch,S3,10,202,0.0495
EMR,Aurora,10,208,0.0481
Route53,UserConsumerWeb,10,103,0.0971
UserCompanyDeveloper,ECR,10,182,0.0549
Lambda,SecurityHub,10,2075,0.0048
CloudWatch,RDS,10,202,0.0495
UserConsumerMobile,DynamoDB,10,307,0.0326
S3,CodePipeline,10,1551,0.0064
Chime,SQS,10,17,0.5882
SNS,UserCompanyAgent,10,215,0.0465
Glue,ThirdParty,10,229,0.0437
AppSync,UserConsumerWeb,10,73,0.137
CodeCommit,CodeBuild,10,22,0.4545
Cognito,UserConsumerWeb,10,54,0.1852
ECS,UserCompanyWebsite,10,363,0.0275
UserCompanyDeveloper,ALB,10,182,0.0549
ELB,WAF,10,226,0.0442
ELB,UserConsumerWeb,10,226,0.0442
IAM,CloudTrail,10,39,0.2564
EC2,AppSync,10,1266,0.0079
Lambda,UserCompanyAPI,10,2075,0.0048
SecurityHub,EventBridge,10,26,0.3846
UserConsumerEdge,Route53,10,94,0.1064
UserCompanyDataStream,Glue,10,189,0.0529
IoTCore,DynamoDB,10,81,0.1235
EC2,SageMaker,10,1266,0.0079
CloudTrail,S3,10,45,0.2222
Connect,ThirdParty,10,85,0.1176
EBS,EC2,10,25,0.4
UserCompanyDataStream,MSK,10,189,0.0529
CloudFront,Cognito,10,291,0.0344
MediaPackage,CloudFront,10,17,0.5882
ThirdParty,VPN,10,862,0.0116
Lambda,CloudFormation,10,2075,0.0048
RedShift,RDS,10,148,0.0676
Aurora,OpenSearch,10,145,0.069
StepFunctions,EMR,10,294,0.034
Fargate,UserConsumerWeb,10,184,0.0543
ELB,UserConsumerAPI,10,226,0.0442
CloudFormation,ThirdParty,10,130,0.0769
DMS,Aurora,10,67,0.1493
UserCompanyDataStream,ELB,10,189,0.0529
Route53,UserConsumerEdge,10,103,0.0971
Lambda,GuardDuty,10,2075,0.0048
Glue,CloudWatch,10,229,0.0437
Athena,SageMaker,10,207,0.0483
Cognito,CloudFront,10,54,0.1852
UserConsumerEdge,EC2,10,94,0.1064
MSK,Lambda,10,68,0.1471
UserCompanyDataStream,EC2,10,189,0.0529
SageMaker,RedShift,10,251,0.0398
ApiGateway,UserConsumerWebMobile,10,537,0.0186
Transcribe,DynamoDB,10,61,0.1639
DynamoDB,SNS,10,496,0.0202
UserCompanyDataStream,Firehose,10,189,0.0529
Lambda,Organizations,10,2075,0.0048
UserConsumerWeb,Fargate,10,388,0.0258
ThirdParty,IoTCore,10,862,0.0116
IoTCore,Kinesis,10,81,0.1235
Kinesis,UserConsumerWeb,10,248,0.0403
RDS,S3,10,263,0.038
UserCompanyAPI,ThirdParty,10,39,0.2564
Firehose,KinesisAnalytics,10,148,0.0676
KinesisAnalytics,Firehose,10,27,0.3704
CloudFront,EC2,10,291,0.0344
MediaLive,MediaPackage,10,10,1.0
SNS,UserConsumerMobile,10,215,0.0465
EC2,UserConsumerEdge,10,1266,0.0079
StepFunctions,Transcribe,10,294,0.034
Athena,Glue,10,207,0.0483
Connect,Lex,10,85,0.1176
KMS,ThirdParty,10,41,0.2439
ECS,SQS,10,363,0.0275
StepFunctions,ThirdParty,9,294,0.0306
WAF,UserConsumerWeb,9,58,0.1552
UserConsumerWeb,WAF,9,388,0.0232
UserConsumerMobile,ThirdParty,9,307,0.0293
ThirdParty,StepFunctions,9,862,0.0104
ApiGateway,ELB,8,537,0.0149
ECS,Kinesis,8,363,0.022
EKS,UserConsumerMobile,8,495,0.0162
ThirdParty,UserConsumerWeb,8,862,0.0093
ApiGateway,EC2,8,537,0.0149
EC2,ECS,8,1266,0.0063
UserConsumerAPI,ECS,7,141,0.0496
ThirdParty,UserConsumerAPI,7,862,0.0081
ElastiCache,ThirdParty,7,107,0.0654
CloudWatch,ThirdParty,7,202,0.0347
ELB,ApiGateway,7,226,0.031
CloudFront,Route53,7,291,0.0241
NLB,ThirdParty,7,42,0.1667
ThirdParty,NLB,7,862,0.0081
FSX,ThirdParty,7,29,0.2414
Cognito,UserConsumerMobile,7,54,0.1296
Kinesis,ECS,7,248,0.0282
ThirdParty,SQS,7,862,0.0081
Fargate,Aurora,7,184,0.038
DynamoDB,AppSync,7,496,0.0141
ECS,UserConsumerAPI,7,363,0.0193
SageMaker,Aurora,7,251,0.0279
Cognito,ThirdParty,6,54,0.1111
DynamoDB,Fargate,6,496,0.0121
Fargate,ThirdParty,6,184,0.0326
EKS,NLB,6,495,0.0121
UserConsumerMobile,WAF,6,307,0.0195
UserCompanyEdge,Lambda,6,12,0.5
GuardDuty,SecurityHub,6,36,0.1667
Lambda,ECR,6,2075,0.0029
EKS,ApiGateway,6,495,0.0121
Firehose,Kinesis,6,148,0.0405
DocumentDB,Lambda,6,7,0.8571
Lambda,UserCompanyDataStream,6,2075,0.0029
SageMaker,IAM,6,251,0.0239
EC2,ECR,6,1266,0.0047
ECS,AmazonMQ,6,363,0.0165
DynamoDB,ThirdParty,6,496,0.0121
ThirdParty,DynamoDB,6,862,0.007
ECR,Lambda,6,66,0.0909
EC2,PrivateLink,6,1266,0.0047
EMR,ECS,6,208,0.0288
